timestamp,status_code,product_name,category,store_id,current_stock,units_sold,waste_quantity,source
2026-06-01T12:58:04.586890,200,Dept_2,A,30,102,52,5,simulated_live_event
2026-06-01T12:58:05.625831,200,Dept_3,B,32,94,70,2,simulated_live_event
2026-06-01T12:58:06.658402,200,Dept_3,B,38,174,139,3,simulated_live_event
2026-06-01T12:58:07.690540,200,Dept_4,B,15,208,114,9,simulated_live_event
2026-06-01T12:58:08.719510,200,Dept_5,C,9,244,55,37,simulated_live_event
2026-06-01T12:58:09.732529,200,Dept_2,A,8,175,98,15,simulated_live_event
2026-06-01T12:58:10.766382,200,Dept_6,A,24,230,110,12,simulated_live_event
2026-06-01T12:58:11.805060,200,Dept_6,A,15,244,131,22,simulated_live_event
2026-06-01T12:58:12.846373,200,Dept_4,B,29,184,32,30,simulated_live_event
2026-06-01T12:58:13.894747,200,Dept_1,A,9,57,57,0,simulated_live_event
2026-06-01T12:58:14.929430,200,Dept_2,A,24,216,133,8,simulated_live_event
2026-06-01T12:58:15.967001,200,Dept_3,B,19,87,87,0,simulated_live_event
2026-06-01T12:58:16.992930,200,Dept_4,B,27,63,42,2,simulated_live_event
2026-06-01T12:58:18.047552,200,Dept_4,B,25,100,77,2,simulated_live_event
2026-06-01T12:58:19.087450,200,Dept_5,C,29,202,130,7,simulated_live_event
2026-06-01T12:58:20.130165,200,Dept_2,A,14,229,73,15,simulated_live_event
2026-06-01T12:58:21.172276,200,Dept_1,A,3,101,43,5,simulated_live_event
2026-06-01T12:58:22.199685,200,Dept_1,A,42,129,96,6,simulated_live_event
2026-06-01T12:58:23.275327,200,Dept_6,A,22,74,74,0,simulated_live_event
2026-06-01T12:58:24.322032,200,Dept_1,A,3,169,99,14,simulated_live_event
